[2022-04-10 00:00:00,225]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548800108, data=[50909], isExpired=false}
[2022-04-10 00:00:05,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548805122, data=[48876], isExpired=false}
[2022-04-10 00:00:10,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548810122, data=[49713], isExpired=false}
[2022-04-10 00:00:15,139]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548815122, data=[49631], isExpired=false}
[2022-04-10 00:00:20,138]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548820122, data=[49801], isExpired=false}
[2022-04-10 00:00:25,149]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548825033, data=[49646], isExpired=false}
[2022-04-10 00:00:30,214]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548830097, data=[50045], isExpired=false}
[2022-04-10 00:00:35,144]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548835122, data=[49863], isExpired=false}
[2022-04-10 00:00:40,223]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548840209, data=[50339], isExpired=false}
[2022-04-10 00:00:45,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548845122, data=[49536], isExpired=false}
[2022-04-10 00:00:50,224]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548850110, data=[50655], isExpired=false}
[2022-04-10 00:00:55,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548855122, data=[49798], isExpired=false}
[2022-04-10 00:01:00,231]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548860217, data=[50408], isExpired=false}
[2022-04-10 00:01:05,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548865122, data=[49573], isExpired=false}
[2022-04-10 00:01:10,220]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548870103, data=[50612], isExpired=false}
[2022-04-10 00:01:15,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548875122, data=[49533], isExpired=false}
[2022-04-10 00:01:20,241]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548880122, data=[50895], isExpired=false}
[2022-04-10 00:01:25,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548885122, data=[49726], isExpired=false}
[2022-04-10 00:01:30,190]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548890073, data=[50465], isExpired=false}
[2022-04-10 00:01:35,216]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548895100, data=[50031], isExpired=false}
[2022-04-10 00:01:40,140]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548900122, data=[48927], isExpired=false}
[2022-04-10 00:01:45,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548905122, data=[50134], isExpired=false}
[2022-04-10 00:01:50,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548910122, data=[49782], isExpired=false}
[2022-04-10 00:01:55,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548915122, data=[49900], isExpired=false}
[2022-04-10 00:02:00,139]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548920122, data=[49451], isExpired=false}
[2022-04-10 00:02:05,136]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548925122, data=[49629], isExpired=false}
[2022-04-10 00:02:10,180]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548930064, data=[49999], isExpired=false}
[2022-04-10 00:02:15,204]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548935088, data=[50058], isExpired=false}
[2022-04-10 00:02:20,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548940122, data=[49494], isExpired=false}
[2022-04-10 00:02:25,140]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548945122, data=[49394], isExpired=false}
[2022-04-10 00:02:30,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548950122, data=[49405], isExpired=false}
[2022-04-10 00:02:35,143]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548955027, data=[49333], isExpired=false}
[2022-04-10 00:02:40,178]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548960062, data=[50042], isExpired=false}
[2022-04-10 00:02:45,234]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548965117, data=[50027], isExpired=false}
[2022-04-10 00:02:50,140]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548970122, data=[49836], isExpired=false}
[2022-04-10 00:02:55,204]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548975087, data=[50358], isExpired=false}
[2022-04-10 00:03:00,190]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548980073, data=[50013], isExpired=false}
[2022-04-10 00:03:05,220]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548985106, data=[50015], isExpired=false}
[2022-04-10 00:03:10,222]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548990105, data=[50029], isExpired=false}
[2022-04-10 00:03:15,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649548995122, data=[49536], isExpired=false}
[2022-04-10 00:03:20,228]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549000214, data=[50658], isExpired=false}
[2022-04-10 00:03:25,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549005121, data=[49838], isExpired=false}
[2022-04-10 00:03:30,199]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549010082, data=[50373], isExpired=false}
[2022-04-10 00:03:35,211]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549015095, data=[50030], isExpired=false}
[2022-04-10 00:03:40,231]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549020217, data=[50044], isExpired=false}
[2022-04-10 00:03:45,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549025122, data=[49688], isExpired=false}
[2022-04-10 00:03:50,234]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549030112, data=[50543], isExpired=false}
